,discriminator_loss,discriminator_accuracy,gan_loss,gan_accuracy,generated_sequences
0,-0.7062934041023254,0.05000000074505806,0.7623656988143921,1.0,hrsrrruuup
1,-0.8498755693435669,0.0,0.8344688415527344,1.0,äööaaaaa0a
2,-0.7924672961235046,0.10000000149011612,0.8612349629402161,1.0,vneepppnpv
3,-0.8559178709983826,0.0,0.8799393773078918,1.0,t00llppt0m
4,-0.8735069632530212,0.0,0.9008998870849609,1.0,ää00000lll
5,0.010350477881729603,0.5,0.9140291213989258,1.0,gozöfofzoo
6,-0.9315977096557617,0.0,0.9286857843399048,1.0,nemmmirävt
7,-0.9280347228050232,0.0,0.9369369745254517,1.0,frozfrrrpp
8,-0.001514697098173201,0.5,0.9474016427993774,1.0,aaoooseežr
9,-0.953919529914856,0.0,0.9547826647758484,1.0,kkkköözzzu
10,-0.9594387412071228,0.0,0.9611439108848572,1.0,ookggkkii0
11,-0.9678870439529419,0.0,0.9690238833427429,1.0,žepkouuuur
12,-0.983388364315033,0.0,0.9739123582839966,1.0,uggg0o000a
13,-0.9864867329597473,0.0,0.9782655835151672,1.0,öghgöööötg
14,-0.9829389452934265,0.0,0.9816212058067322,1.0,uuue000äo0
15,-0.9635540246963501,0.0,0.984701931476593,1.0,žžžöäööäöö
16,-0.9926994442939758,0.0,0.9872547388076782,1.0,ttttthöttt
17,-0.9830023646354675,0.0,0.9882271885871887,1.0,m000aaahnž
18,-0.9929665923118591,0.0,0.9915665984153748,1.0,ff0oyddghg
19,-0.9944921731948853,0.0,0.9932960867881775,1.0,žžmmoažžžo
20,-0.9944305419921875,0.0,0.9945684671401978,1.0,0dsmmžžžmj
21,-0.9959350824356079,0.0,0.9952279925346375,1.0,nuažnnnyžo
22,-0.9965267181396484,0.0,0.9958271980285645,1.0,gppnnžnžžž
23,-0.9970281720161438,0.0,0.9967040419578552,1.0,aahöömöžž0
24,-0.9975477457046509,0.0,0.9974374771118164,1.0,ggžžrgrerk
25,-0.9983173608779907,0.0,0.9975418448448181,1.0,pppkgku00e
26,-0.9985820651054382,0.0,0.9976580739021301,1.0,ööööt0öööm
27,-0.9986602663993835,0.0,0.9977575540542603,1.0,ekrkäääeee
28,-0.9990520477294922,0.0,0.9983207583427429,1.0,žv0ölmmzmh
29,-0.9985970854759216,0.0,0.9983614087104797,1.0,ppvpp000äy
30,-0.9991714358329773,0.0,0.9986342787742615,1.0,0000zzäpnh
31,-0.9990095496177673,0.0,0.998831570148468,1.0,otžžffggmm
32,-0.9992790222167969,0.0,0.9988757967948914,1.0,žžžžžžpppn
33,-0.9993283152580261,0.0,0.999163806438446,1.0,eeeetotroo
34,-0.9989513754844666,0.0,0.9991219639778137,1.0,žkžgjömjmk
35,-0.9985374808311462,0.0,0.9991032481193542,1.0,öörrrötžiu
36,-0.9991753697395325,0.0,0.9992578625679016,1.0,ö0iiiöuööö
37,-0.9996046423912048,0.0,0.999298095703125,1.0,äääääeennh
38,-0.999525249004364,0.0,0.9993446469306946,1.0,rttggjjj00
39,-0.9996109008789062,0.0,0.9994457364082336,1.0,äuoo0llllk
40,-0.9993939399719238,0.0,0.9993945956230164,1.0,g0uumddööö
41,-0.9994317889213562,0.0,0.9994739890098572,1.0,00000llrkr
42,-0.9988817572593689,0.0,0.9995512962341309,1.0,rllllooooo
43,-0.9994789958000183,0.0,0.9995838403701782,1.0,kkaaoot000
44,-0.9993732571601868,0.0,0.9996415972709656,1.0,orrry000oe
45,-0.9997918009757996,0.0,0.9996854662895203,1.0,žžd0leeeek
46,-0.9996224641799927,0.0,0.9996902346611023,1.0,00ooäžvvkk
47,-0.9998093843460083,0.0,0.9997116327285767,1.0,kkrppppnny
48,-0.9998206496238708,0.0,0.9997416734695435,1.0,p000zze00o
49,-0.9998531341552734,0.0,0.9997659921646118,1.0,nnn00rrrr0
50,-0.9994136691093445,0.0,0.9997602701187134,1.0,žhyääaäögö
51,-0.9998010993003845,0.0,0.9998154640197754,1.0,hoööööp00d
52,-0.9998707175254822,0.0,0.9998001456260681,1.0,žn0rrvvvkk
53,-0.9997881054878235,0.0,0.999825656414032,1.0,0gguiižzan
54,-0.9998801350593567,0.0,0.9997661709785461,1.0,hkkiiiinvh
55,-0.9998980760574341,0.0,0.9998345375061035,1.0,ži0užžmjjv
56,-0.9999094009399414,0.0,0.9998653531074524,1.0,h0höh0000f
57,-0.999905526638031,0.0,0.9998583197593689,1.0,pömmgee0em
58,-0.9998927116394043,0.0,0.9998888373374939,1.0,däžvpgnnnn
59,-0.9998859763145447,0.0,0.9998880624771118,1.0,ussssööööö
60,-0.9998985528945923,0.0,0.9998804926872253,1.0,ažžnvppuoo
61,-0.9999235272407532,0.0,0.999890923500061,1.0,ppniiiimms
62,-0.9999358057975769,0.0,0.9998950958251953,1.0,ž00elsžžžž
63,-0.9998369216918945,0.0,0.9998885989189148,1.0,oooooooaöp
64,-0.9999139904975891,0.0,0.999923825263977,1.0,nyoäžoföui
65,-0.9999375343322754,0.0,0.9999152421951294,1.0,jtgg00ppu0
66,-0.999904453754425,0.0,0.9999227523803711,1.0,žžž0ggtkgg
67,-0.9999521374702454,0.0,0.9999143481254578,1.0,eerä0kz000
68,-0.9999567270278931,0.0,0.9999394416809082,1.0,000dararrr
69,-0.9999446868896484,0.0,0.9999440312385559,1.0,oaaaprtmiö
70,-0.9999464154243469,0.0,0.9999347925186157,1.0,eeu0000aam
71,-0.9999656677246094,0.0,0.9999475479125977,1.0,tttmmkhtoö
72,-0.9999324083328247,0.0,0.9999392628669739,1.0,oae0ho00mm
73,-0.9998777508735657,0.0,0.9999637007713318,1.0,žaaaemfgöö
74,-0.9999399185180664,0.0,0.9999481439590454,1.0,ffffffffir
75,-0.9999400973320007,0.0,0.9999465346336365,1.0,0ghaažžžžp
76,-0.9999462366104126,0.0,0.999964714050293,1.0,aomuggeffg
77,-0.999952495098114,0.0,0.9999561309814453,1.0,žželaa00gž
78,-0.9999786615371704,0.0,0.9999653100967407,1.0,äzooozya00
79,-0.9999747276306152,0.0,0.9999610185623169,1.0,rpgdgäärrr
80,-0.9999664425849915,0.0,0.9999567866325378,1.0,pppežžpžt0
81,-0.9999235272407532,0.0,0.999967098236084,1.0,žolhöjmmrä
82,-0.9999813437461853,0.0,0.9999716877937317,1.0,öuuppaöhkk
83,-0.9999741911888123,0.0,0.9999719858169556,1.0,kko0vi00aa
84,-0.9999837279319763,0.0,0.9999732971191406,1.0,ä0n0g0hkjt
85,-0.9999803900718689,0.0,0.9999786615371704,1.0,fujjpeeeee
86,-0.999978244304657,0.0,0.9999772906303406,1.0,mknooöööra
87,-0.9999439120292664,0.0,0.9999801516532898,1.0,nnr00f0000
88,-0.999986469745636,0.0,0.9999804496765137,1.0,szyygg00fu
89,-0.9999874234199524,0.0,0.9999794363975525,1.0,aään0kkkzo
90,-0.9999542236328125,0.0,0.9999819993972778,1.0,oiivimöžžž
91,-0.9999890327453613,0.0,0.9999855160713196,1.0,dt00dhžngj
92,-0.9999853372573853,0.0,0.9999796152114868,1.0,ollleloöök
93,-0.999981701374054,0.0,0.9999815225601196,1.0,ääyyoöötžž
94,-0.9999893307685852,0.0,0.9999831318855286,1.0,ggg000kkzo
95,-0.9999829530715942,0.0,0.9999866485595703,1.0,žkkllöiööö
96,-0.9999896883964539,0.0,0.9999851584434509,1.0,dzvööppöön
97,-0.9999886751174927,0.0,0.9999898076057434,1.0,i000äoož0ž
98,-0.9999862909317017,0.0,0.999988853931427,1.0,žažžrtääfu
99,-0.9999915361404419,0.0,0.9999871253967285,1.0,ää0leöäööi
100,-0.9999904036521912,0.0,0.9999876022338867,1.0,nohhnnnihh
101,-0.9999870657920837,0.0,0.9999902844429016,1.0,ikkkkukaäa
102,-0.9999892115592957,0.0,0.9999901056289673,1.0,öööötöhhnn
103,-0.9999851584434509,0.0,0.9999893307685852,1.0,ahkžžrrree
104,-0.9999950528144836,0.0,0.9999920129776001,1.0,öäääussvvv
105,-0.9999948740005493,0.0,0.9999902844429016,1.0,oožžžž0eee
106,-0.9999948740005493,0.0,0.9999917149543762,1.0,ööräaäännn
107,-0.9999834299087524,0.0,0.9999921917915344,1.0,ttttöööööö
108,-0.9999905824661255,0.0,0.9999934434890747,1.0,vvepöööött
109,-0.9999943971633911,0.0,0.9999943971633911,1.0,vvpssssžnn
110,-0.9999858736991882,0.0,0.9999934434890747,1.0,rrktomeei0
111,-0.9999929666519165,0.0,0.9999950528144836,1.0,žvvvvpiivn
112,-0.9999931454658508,0.0,0.9999947547912598,1.0,äpfffffffg
113,-0.9999942779541016,0.0,0.9999926686286926,1.0,g00eiiižžž
114,-0.9999967813491821,0.0,0.9999958276748657,1.0,žžtkmžžhhh
115,-0.9999969601631165,0.0,0.9999961853027344,1.0,ööžžmeettn
116,-0.9999961853027344,0.0,0.9999951720237732,1.0,žznžžähony
117,-0.9999966025352478,0.0,0.9999971389770508,1.0,0oosssz00o
118,-0.9999906420707703,0.0,0.9999968409538269,1.0,kkaaakppuu
119,-0.999995231628418,0.0,0.9999957084655762,1.0,eee00ooook
120,-0.9999977350234985,0.0,0.9999971389770508,1.0,n0äpk000oo
121,-0.9999969601631165,0.0,0.9999973177909851,1.0,noesmppooo
122,-0.9999960064888,0.0,0.9999972581863403,1.0,vvfffuuupp
123,-0.9999980926513672,0.0,0.9999967813491821,1.0,eevtägyggg
124,-0.9999979138374329,0.0,0.9999963045120239,1.0,nnnnnnžooo
125,-0.9999985694885254,0.0,0.9999967813491821,1.0,rllrääääää
