,discriminator_loss,discriminator_accuracy,gan_loss,gan_accuracy,generated_sequences
0,0.06498852372169495,0.5,0.728402316570282,1.0,vnggêêlêêi
1,-0.7311530113220215,0.10000000149011612,0.7417414784431458,1.0,gngrêêê0çç
2,-0.6334329843521118,0.15000000596046448,0.8150528073310852,1.0,êfâtdttffp
3,-0.8267703056335449,0.05000000074505806,0.853331983089447,1.0,dâzozaatîî
4,-0.8752378821372986,0.0,0.8682004809379578,1.0,00êêgrjcnm
5,-0.9004949927330017,0.0,0.8893190622329712,1.0,azzzzaaaaç
6,-0.904641330242157,0.0,0.9119880795478821,1.0,ççtboooorj
7,-0.9325410723686218,0.0,0.9145757555961609,1.0,îppâççdççç
8,-0.8856827020645142,0.0,0.8688044548034668,1.0,djjfeeeeîî
9,-0.9256397485733032,0.0,0.9138990640640259,1.0,jjrtr00bêa
10,-0.9398771524429321,0.0,0.9329702258110046,1.0,uaacoc0ssj
11,-0.9034860730171204,0.05000000074505806,0.9392412304878235,1.0,djjsssllud
12,-0.9491861462593079,0.0,0.9446024894714355,1.0,taae00uuça
13,-0.962223470211029,0.0,0.9518615007400513,1.0,cmccnnanni
14,-0.9549962878227234,0.0,0.9547075629234314,1.0,00cccojo00
15,-0.9715206027030945,0.0,0.9586960077285767,1.0,0êmîoîorri
16,-0.9604143500328064,0.0,0.9627589583396912,1.0,cr00ddddza
17,-0.9695649147033691,0.0,0.9662424325942993,1.0,îaaîîcîîîî
18,-0.9507360458374023,0.0,0.9679426550865173,1.0,lp0pag00çç
19,-0.9418358206748962,0.0,0.9730051159858704,1.0,moootooo00
20,0.011447406373918056,0.5,0.9762582778930664,1.0,ooêrpp0îg0
21,-0.9852651953697205,0.0,0.9777366518974304,1.0,rpr0rlggrr
22,-0.976513683795929,0.0,0.9814302325248718,1.0,âoeêêêoarr
23,-0.9893871545791626,0.0,0.979907214641571,1.0,ooojjjêgmm
24,-0.987187385559082,0.0,0.9844638705253601,1.0,ugguuujjeî
25,0.006636941339820623,0.5,0.9861316680908203,1.0,îâsoff00uî
26,-0.99007648229599,0.0,0.9869762659072876,1.0,jjoodmcccc
27,-0.9926723837852478,0.0,0.9885760545730591,1.0,ujjjieeeêz
28,-0.9935092926025391,0.0,0.9890720248222351,1.0,eljddnuâîî
29,-0.9946014285087585,0.0,0.9904505014419556,1.0,êêêjvccppa
30,-0.9926576614379883,0.0,0.9908537268638611,1.0,têjjjuemuf
31,-0.9955511093139648,0.0,0.9919071197509766,1.0,dvccnleiii
32,-0.9952778220176697,0.0,0.9927774667739868,1.0,ezzâssmooî
33,-0.9964098334312439,0.0,0.9933003783226013,1.0,0aazzzêêaa
34,-0.9879611134529114,0.0,0.9950136542320251,1.0,nddccdleer
35,-0.996606171131134,0.0,0.9953665733337402,1.0,offfjjjmpu
36,-0.9968454241752625,0.0,0.9952793121337891,1.0,îaîîpî0l0î
37,-0.9951197504997253,0.0,0.996020495891571,1.0,âêemmjççrj
38,-0.9968544244766235,0.0,0.9965185523033142,1.0,dooommmjjj
39,-0.9970847964286804,0.0,0.9972290396690369,1.0,gpînneeîîf
40,-0.9979142546653748,0.0,0.9969698190689087,1.0,oouljgîîîî
41,-0.9976319670677185,0.0,0.9976029396057129,1.0,eeppppttîî
42,-0.9983771443367004,0.0,0.9979861378669739,1.0,000eeuçvvt
43,-0.9987331628799438,0.0,0.997922420501709,1.0,ooê000rlll
44,-0.9986110925674438,0.0,0.9984685778617859,1.0,ccc00000cc
45,-0.9987468719482422,0.0,0.9980981945991516,1.0,jveerrêjjj
46,-0.9990705847740173,0.0,0.9985294342041016,1.0,cfr000îaîî
47,-0.9989842772483826,0.0,0.9987789392471313,1.0,unepppnvcn
48,-0.9992427825927734,0.0,0.9988352060317993,1.0,ecc00ee00j
49,-0.9992504119873047,0.0,0.9987829327583313,1.0,îmgppg00îî
50,-0.999437153339386,0.0,0.9986080527305603,1.0,îfeeeeîîod
51,-0.9993358850479126,0.0,0.9991298913955688,1.0,îîffffooeê
52,-0.9993703961372375,0.0,0.9990703463554382,1.0,jm0c000000
53,-0.9995455741882324,0.0,0.9991427659988403,1.0,î0ddo00çot
54,-0.9991666674613953,0.0,0.9993077516555786,1.0,nnnçaaazça
55,-0.999585747718811,0.0,0.9993540644645691,1.0,eeioeataîp
56,-0.9995691180229187,0.0,0.9993852972984314,1.0,ueeeelîrta
57,-0.999074399471283,0.0,0.9995059967041016,1.0,aejîpmofze
58,-0.9996421933174133,0.0,0.999559223651886,1.0,0îîîîpooîo
59,-0.999548077583313,0.0,0.9994848370552063,1.0,êrrtrlêldd
60,-0.9995466470718384,0.0,0.9995340704917908,1.0,açpjjjppaa
61,-0.9993557333946228,0.0,0.9995531439781189,1.0,mb0btppfgj
62,-0.9996591806411743,0.0,0.9995466470718384,1.0,oaattttaaî
63,-0.999646782875061,0.0,0.9996723532676697,1.0,jtêvvêvppp
64,-0.9991952776908875,0.0,0.9996232390403748,1.0,ncceîmoomo
65,-0.9996731877326965,0.0,0.9996954202651978,1.0,0oozîttprr
66,0.00014259816089179367,0.5,0.9997887015342712,1.0,oççpuumîîf
67,-0.9998300671577454,0.0,0.9997900128364563,1.0,0r0fdbt0d0
68,-0.9998393058776855,0.0,0.9997568130493164,1.0,eeeejîîîîo
69,-0.9998552203178406,0.0,0.9996566772460938,1.0,ll0000jjjs
70,-0.9998471140861511,0.0,0.9998365640640259,1.0,îppîfzvîîe
71,-0.999869167804718,0.0,0.999818742275238,1.0,tîbîîpmmâs
72,-0.9998683929443359,0.0,0.9998211860656738,1.0,îîv0ec00um
73,-0.9998930096626282,0.0,0.9998470544815063,1.0,gguussumdl
74,-0.9998850226402283,0.0,0.9998241662979126,1.0,pppacdçazz
75,-0.9998397827148438,0.0,0.9998138546943665,1.0,ptppvvvrrl
76,-0.9999036192893982,0.0,0.9998236894607544,1.0,jejeooapuu
77,-0.9998134970664978,0.0,0.9998893737792969,1.0,ocmmiêêêrr
78,-0.9996005892753601,0.0,0.9998699426651001,1.0,êddâ0ooîîa
79,-0.9999266862869263,0.0,0.9999003410339355,1.0,leeeîv0000
80,-0.999901294708252,0.0,0.9998971819877625,1.0,êêeufîdded
81,-0.9998793005943298,0.0,0.9998931884765625,1.0,geccneddda
82,-0.9999294281005859,0.0,0.9999105334281921,1.0,îîrîâ0tt0l
83,-0.9998781085014343,0.0,0.9998955130577087,1.0,îîîdîîîcci
84,-0.9999515414237976,0.0,0.9999328851699829,1.0,eppmuuuuuç
85,-0.9999181628227234,0.0,0.999886155128479,1.0,eîzzçuiiit
86,-0.9997520446777344,0.0,0.999940037727356,1.0,cnaîpptâaa
87,-0.9999489188194275,0.0,0.9999217391014099,1.0,uçîînnvç00
88,-0.9998979568481445,0.0,0.9999266862869263,1.0,tttiiiiiap
89,-0.9999662637710571,0.0,0.9999485015869141,1.0,ddguuccmue
90,-0.9999581575393677,0.0,0.9999496340751648,1.0,uouvujîîvv
91,-0.999946117401123,0.0,0.9999394416809082,1.0,êbçapaapta
92,-0.9999390840530396,0.0,0.9999327063560486,1.0,evvvîpjomm
93,-0.9999508261680603,0.0,0.9999584555625916,1.0,o0000îdddd
94,-0.9997789263725281,0.0,0.9999555945396423,1.0,srêêêppede
95,-0.9999732971191406,0.0,0.9999597668647766,1.0,nlrrlcrêpp
96,-0.9999673962593079,0.0,0.9999628067016602,1.0,çuulîîcr0r
97,-0.9999729990959167,0.0,0.9999545216560364,1.0,otpprppcaf
