,discriminator_loss,discriminator_accuracy,gan_loss,gan_accuracy,generated_sequences
0,0.058301594108343124,0.5,0.7099307775497437,1.0,òppiìpòòòò
1,-0.8339066505432129,0.0,0.8020831942558289,1.0,ihhhhttttp
2,-0.8730800747871399,0.0,0.8323259353637695,1.0,ffflìònnnn
3,-0.8809242248535156,0.0,0.8759201169013977,1.0,tppoooooot
4,-0.888566792011261,0.0,0.8944568634033203,1.0,ùùùùùbbbbb
5,-0.8922538757324219,0.05000000074505806,0.9100627899169922,1.0,faaaaaàoòò
6,-0.9300214648246765,0.0,0.9216284155845642,1.0,bòpnppbbrr
7,-0.9325630068778992,0.0,0.9302827715873718,1.0,ùùòòòògòòm
8,-0.9147761464118958,0.0,0.9383644461631775,1.0,tgttùcccèè
9,-0.9418540000915527,0.0,0.9461767077445984,1.0,oiiiibbbòò
10,-0.921857476234436,0.0,0.9506015181541443,1.0,iàbààèòòìì
11,-0.940523087978363,0.0,0.958538830280304,1.0,npptprriii
12,-0.9299915432929993,0.0,0.9632525444030762,1.0,fttueeòòèa
13,-0.9661704897880554,0.0,0.967725396156311,1.0,aèltòòppou
14,-0.9767038226127625,0.0,0.973400890827179,1.0,àniaaaòòòs
15,-0.9847539067268372,0.0,0.9788568615913391,1.0,ùùnaèesmch
16,-0.9838537573814392,0.0,0.9818353056907654,1.0,htduuuffhl
17,-0.9860981106758118,0.0,0.9856745004653931,1.0,tpplllllèè
18,-0.9885486960411072,0.0,0.98787921667099,1.0,ttiiàttttt
19,-0.9927421808242798,0.0,0.9895001649856567,1.0,ùsslùòòegg
20,-0.9879112243652344,0.0,0.9916747212409973,1.0,phhhsshhnò
21,-0.9936925172805786,0.0,0.9928445816040039,1.0,uullssòppi
22,0.0029502033721655607,0.5,0.9941017031669617,1.0,èiteaeouuò
23,-0.9932095408439636,0.0,0.9948291778564453,1.0,gàiiicnibb
24,-0.9969868063926697,0.0,0.9955219626426697,1.0,flffttttòf
25,0.0020916343200951815,0.5,0.9961559176445007,1.0,iittbubuèp
26,-0.9959623217582703,0.0,0.9963327646255493,1.0,pnpgèèciii
27,-0.9976791739463806,0.0,0.9970703125,1.0,tttpùpùrgè
28,-0.9982323050498962,0.0,0.9971828460693359,1.0,moagaaaòùù
29,-0.9971262216567993,0.0,0.9974327087402344,1.0,elluhtttgà
30,-0.9985023736953735,0.0,0.9979740977287292,1.0,oùùòòiiiòò
31,-0.9983565211296082,0.0,0.9980131387710571,1.0,òòòòfàfèèè
32,-0.998085618019104,0.0,0.9982849359512329,1.0,èèànnìrris
33,0.0007813930860720575,0.5,0.9984580874443054,1.0,fpùùdbbltm
34,-0.9985703825950623,0.0,0.9985238909721375,1.0,nrpòòhgèèc
35,-0.9986655116081238,0.0,0.99878990650177,1.0,ùùùiiiibbb
36,-0.9986513257026672,0.0,0.9988777041435242,1.0,hèèbtpnùùù
37,-0.9993292093276978,0.0,0.9989506006240845,1.0,ssssooaaòò
38,-0.9992582201957703,0.0,0.9990406036376953,1.0,èùtùùùùaae
39,0.0004770875093527138,0.5,0.9991121292114258,1.0,emooòòòppf
40,-0.999098002910614,0.0,0.9992759823799133,1.0,rùsscfflhl
41,-0.9995653033256531,0.0,0.9992091059684753,1.0,ùòpìììììùù
42,-0.9993162155151367,0.0,0.9993988275527954,1.0,àtiiieeieg
43,-0.99927818775177,0.0,0.9994150400161743,1.0,grrrèeeeàà
44,-0.9996463656425476,0.0,0.9994430541992188,1.0,fffòffbbii
45,-0.9995782971382141,0.0,0.9994798898696899,1.0,àaeeeasùùù
46,-0.9994693994522095,0.0,0.9995388388633728,1.0,rrrc0iibbt
47,-0.9995439648628235,0.0,0.9995477795600891,1.0,irrrrrsùùi
48,-0.9996762275695801,0.0,0.9996427893638611,1.0,òòpplpufff
49,-0.9997639060020447,0.0,0.9996086359024048,1.0,prmàmbpbro
50,-0.9997764825820923,0.0,0.9996358752250671,1.0,ifffè0àèèe
51,0.00014810562424827367,0.5,0.9997127652168274,1.0,ffffèemooe
52,-0.9997344017028809,0.0,0.9997374415397644,1.0,òòòòòdùfff
53,-0.9997940063476562,0.0,0.9997500777244568,1.0,rsgmmmmaòò
54,-0.9997802972793579,0.0,0.9997116327285767,1.0,ipeeeeiigò
55,-0.9997665286064148,0.0,0.9997711181640625,1.0,ofààsooèèb
56,-0.999640941619873,0.0,0.9997863173484802,1.0,uòiòìèàioi
57,0.00010120868682861328,0.5,0.9998149871826172,1.0,unuuuicàgm
58,-0.9998342394828796,0.0,0.9998244643211365,1.0,lhtpppàpml
59,-0.9986798167228699,0.0,0.9998297095298767,1.0,èòufmmmmii
60,-0.9998597502708435,0.0,0.9998437762260437,1.0,mttbbèeggg
61,-0.9998688101768494,0.0,0.9998464584350586,1.0,0iààrrimmp
62,-0.999832272529602,0.0,0.9998565912246704,1.0,ldoòeeeraa
63,-0.9999130368232727,0.0,0.9998847246170044,1.0,òooìòòònnn
64,-0.9999139904975891,0.0,0.9998788237571716,1.0,tlrùmhttth
65,-0.9999171495437622,0.0,0.9998918771743774,1.0,ibbpbppage
66,-0.9998790621757507,0.0,0.9998860359191895,1.0,dttssrùùdd
67,-0.9999224543571472,0.0,0.999903678894043,1.0,èèèrreeèèp
68,-0.9999213218688965,0.0,0.9999051094055176,1.0,tffsèèùsìì
69,-0.9999256134033203,0.0,0.9999217987060547,1.0,mrrrròòfìò
70,-0.9999243021011353,0.0,0.9999147653579712,1.0,ooììòòùùem
71,-0.9999377131462097,0.0,0.9999198913574219,1.0,òoooìppppi
72,-0.9999113082885742,0.0,0.999906063079834,1.0,eptdnpììln
73,-0.999947190284729,0.0,0.9999332427978516,1.0,rrccùrpggh
74,-0.9999536871910095,0.0,0.9999321103096008,1.0,nnnìòòoiùg
75,-0.9999451041221619,0.0,0.9999467730522156,1.0,nniicsàiit
76,-0.9999606013298035,0.0,0.9999284744262695,1.0,umsfriiiii
77,-0.9996490478515625,0.0,0.9999456405639648,1.0,fmòbbbèèòù
78,-0.9999569058418274,0.0,0.9999520182609558,1.0,hòòpeppttà
79,-0.9999622702598572,0.0,0.9999455809593201,1.0,tiehhùùìnò
80,-0.9999208450317383,0.0,0.9999628067016602,1.0,ftttmmmòòi
81,2.2935868400963955e-05,0.5,0.9999504089355469,1.0,hggmfgèemg
82,-0.9999662637710571,0.0,0.9999594688415527,1.0,èèmemeèèpì
83,-0.9999745488166809,0.0,0.9999637603759766,1.0,ìiiiì00iaì
84,-0.9999720454216003,0.0,0.9999669194221497,1.0,bèèeneppìà
85,-0.9999732971191406,0.0,0.9999570846557617,1.0,òssiiissfè
86,-0.9999704360961914,0.0,0.9999698996543884,1.0,igèèèèìpàà
87,1.4424324035644531e-05,0.5,0.9999619722366333,1.0,ùèhilùùffm
88,-0.9999678730964661,0.0,0.9999752044677734,1.0,ùmmmhhmiea
89,-0.9999826550483704,0.0,0.9999679923057556,1.0,èsùèèrrrpp
90,-0.9999772906303406,0.0,0.9999784827232361,1.0,èèèhsseiii
91,-0.9999842047691345,0.0,0.9999693036079407,1.0,prrcciieea
92,-0.9999837875366211,0.0,0.9999753832817078,1.0,lìsfòppèio
